date,day,pmutS,volume,treatment,Well Row,Well Col,Content,OD,N,concentration
2017-08-15,1,75,1,double,G,7,Sample X79,1.361,1361e6,0.0625
2017-08-15,1,75,1,double,G,8,Sample X80,1.348,1348e6,0.0625
2017-08-15,1,75,1,double,G,9,Sample X81,1.36,136e7,0.0625
2017-08-15,1,75,1,double,G,10,Sample X82,1.374,1374e6,0.0625
2017-08-15,1,75,1,double,G,11,Sample X83,1.361,1361e6,0.0625
2017-08-15,1,90,1,double,B,2,Sample X14,1.336,1336e6,0.0625
2017-08-15,1,90,1,double,B,3,Sample X15,1.364,1364e6,0.0625
2017-08-15,1,90,1,double,B,4,Sample X16,1.354,1354e6,0.0625
2017-08-15,1,90,1,double,B,5,Sample X17,1.335,1335e6,0.0625
2017-08-15,1,90,1,double,B,6,Sample X18,1.348,1348e6,0.0625
2017-08-15,1,90,1,double,B,7,Sample X19,1.344,1344e6,0.0625
2017-08-15,1,90,1,double,B,8,Sample X20,1.348,1348e6,0.0625
2017-08-15,1,90,1,double,B,9,Sample X21,1.351,1351e6,0.0625
2017-08-15,1,90,1,double,B,10,Sample X22,1.341,1341e6,0.0625
2017-08-15,1,90,1,double,B,11,Sample X23,1.353,1353e6,0.0625
2017-08-15,1,90,1,double,C,2,Sample X26,1.363,1363e6,0.0625
2017-08-15,1,90,1,double,C,3,Sample X27,1.359,1359e6,0.0625
2017-08-15,1,90,1,double,C,4,Sample X28,1.351,1351e6,0.0625
2017-08-15,1,90,1,double,C,5,Sample X29,1.321,1321e6,0.0625
2017-08-15,1,90,1,double,C,6,Sample X30,1.332,1332e6,0.0625
2017-08-15,1,90,1,double,C,7,Sample X31,1.312,1312e6,0.0625
2017-08-15,1,90,1,double,C,8,Sample X32,1.31,131e7,0.0625
2017-08-15,1,90,1,double,C,9,Sample X33,1.334,1334e6,0.0625
2017-08-15,1,90,1,double,C,10,Sample X34,1.322,1322e6,0.0625
2017-08-15,1,90,1,double,C,11,Sample X35,1.338,1338e6,0.0625
2017-08-15,1,90,1,double,D,2,Sample X38,1.345,1345e6,0.0625
2017-08-15,1,90,1,double,D,3,Sample X39,1.358,1358e6,0.0625
2017-08-15,1,90,1,double,D,4,Sample X40,1.335,1335e6,0.0625
2017-08-15,1,90,1,double,D,5,Sample X41,1.328,1328e6,0.0625
2017-08-15,1,90,1,double,D,6,Sample X42,1.341,1341e6,0.0625
2017-08-15,1,90,1,double,D,7,Sample X43,1.347,1347e6,0.0625
2017-08-15,1,90,1,double,D,8,Sample X44,1.327,1327e6,0.0625
2017-08-15,1,90,1,double,D,9,Sample X45,1.349,1349e6,0.0625
2017-08-15,1,90,1,double,D,10,Sample X46,1.358,1358e6,0.0625
2017-08-15,1,90,1,double,D,11,Sample X47,1.347,1347e6,0.0625
2017-08-15,1,90,1,double,E,2,Sample X50,1.368,1368e6,0.0625
2017-08-15,1,90,1,double,E,3,Sample X51,1.376,1376e6,0.0625
2017-08-15,1,90,1,double,E,4,Sample X52,1.394,1394e6,0.0625
2017-08-15,1,90,1,double,E,5,Sample X53,1.377,1377e6,0.0625
2017-08-15,1,90,1,double,E,6,Sample X54,1.374,1374e6,0.0625
2017-08-15,1,90,1,double,E,7,Sample X55,1.351,1351e6,0.0625
2017-08-15,1,90,1,double,E,8,Sample X56,1.369,1369e6,0.0625
2017-08-15,1,90,1,double,E,9,Sample X57,1.381,1381e6,0.0625
2017-08-15,1,90,1,double,E,10,Sample X58,1.372,1372e6,0.0625
2017-08-15,1,90,1,double,E,11,Sample X59,1.355,1355e6,0.0625
2017-08-15,1,90,1,double,F,2,Sample X62,1.383,1383e6,0.0625
2017-08-15,1,90,1,double,F,3,Sample X63,1.396,1396e6,0.0625
2017-08-15,1,90,1,double,F,4,Sample X64,1.375,1375e6,0.0625
2017-08-15,1,90,1,double,F,5,Sample X65,1.386,1386e6,0.0625
2017-08-15,1,90,1,double,F,6,Sample X66,1.369,1369e6,0.0625
2017-08-15,1,90,1,double,F,7,Sample X67,1.347,1347e6,0.0625
2017-08-15,1,90,1,double,F,8,Sample X68,1.373,1373e6,0.0625
2017-08-15,1,90,1,double,F,9,Sample X69,1.362,1362e6,0.0625
2017-08-15,1,90,1,double,F,10,Sample X70,1.367,1367e6,0.0625
2017-08-15,1,90,1,double,F,11,Sample X71,1.36,136e7,0.0625
2017-08-15,1,90,1,double,G,2,Sample X74,1.387,1387e6,0.0625
2017-08-15,1,90,1,double,G,3,Sample X75,1.407,1407e6,0.0625
2017-08-15,1,90,1,double,G,4,Sample X76,1.396,1396e6,0.0625
2017-08-15,1,90,1,double,G,5,Sample X77,1.382,1382e6,0.0625
2017-08-15,1,90,1,double,G,6,Sample X78,1.384,1384e6,0.0625
2017-08-15,1,90,1,double,G,7,Sample X79,1.379,1379e6,0.0625
2017-08-15,1,90,1,double,G,8,Sample X80,1.392,1392e6,0.0625
2017-08-15,1,90,1,double,G,9,Sample X81,1.39,139e7,0.0625
2017-08-15,1,90,1,double,G,10,Sample X82,1.406,1406e6,0.0625
2017-08-15,1,90,1,double,G,11,Sample X83,1.364,1364e6,0.0625
2017-08-16,2,100,1,double,B,2,Sample X14,1.158,1158e6,0.125
2017-08-16,2,100,1,double,B,3,Sample X15,1.191,1191e6,0.125
2017-08-16,2,100,1,double,B,4,Sample X16,1.234,1234e6,0.125
2017-08-16,2,100,1,double,B,5,Sample X17,1.133,1133e6,0.125
2017-08-16,2,100,1,double,B,6,Sample X18,1.166,1166e6,0.125
2017-08-16,2,100,1,double,B,7,Sample X19,1.215,1215e6,0.125
2017-08-16,2,100,1,double,B,8,Sample X20,1.255,1255e6,0.125
2017-08-16,2,100,1,double,B,9,Sample X21,1.1,11e8,0.125
2017-08-16,2,100,1,double,B,10,Sample X22,1.107,1107e6,0.125
2017-08-16,2,100,1,double,B,11,Sample X23,1.132,1132e6,0.125
2017-08-16,2,100,1,double,C,2,Sample X26,1.207,1207e6,0.125
2017-08-16,2,100,1,double,C,3,Sample X27,1.197,1197e6,0.125
2017-08-16,2,100,1,double,C,4,Sample X28,1.157,1157e6,0.125
2017-08-16,2,100,1,double,C,5,Sample X29,1.25,125e7,0.125
2017-08-16,2,100,1,double,C,6,Sample X30,1.142,1142e6,0.125
2017-08-16,2,100,1,double,C,7,Sample X31,1.112,1112e6,0.125
2017-08-16,2,100,1,double,C,8,Sample X32,1.13,113e7,0.125
2017-08-16,2,100,1,double,C,9,Sample X33,1.104,1104e6,0.125
2017-08-16,2,100,1,double,C,10,Sample X34,1.188,1188e6,0.125
2017-08-16,2,100,1,double,C,11,Sample X35,1.041,1040999999.9999999,0.125
2017-08-16,2,100,1,double,D,2,Sample X38,1.22,122e7,0.125
2017-08-16,2,100,1,double,D,3,Sample X39,1.184,1184e6,0.125
2017-08-16,2,100,1,double,D,4,Sample X40,1.219,1219e6,0.125
2017-08-16,2,100,1,double,D,5,Sample X41,1.2,12e8,0.125
2017-08-16,2,100,1,double,D,6,Sample X42,1.216,1216e6,0.125
2017-08-16,2,100,1,double,D,7,Sample X43,1.183,1183e6,0.125
2017-08-16,2,100,1,double,D,8,Sample X44,1.214,1214e6,0.125
2017-08-16,2,100,1,double,D,9,Sample X45,1.078,1078e6,0.125
2017-08-16,2,100,1,double,D,10,Sample X46,1.192,1192e6,0.125
2017-08-16,2,100,1,double,D,11,Sample X47,1.22,122e7,0.125
2017-08-16,2,100,1,double,E,2,Sample X50,1.124,1124e6,0.125
2017-08-16,2,100,1,double,E,3,Sample X51,1.081,1081e6,0.125
2017-08-16,2,100,1,double,E,4,Sample X52,1.14,114e7,0.125
2017-08-16,2,100,1,double,E,5,Sample X53,1.101,1101e6,0.125
2017-08-16,2,100,1,double,E,6,Sample X54,1.184,1184e6,0.125
2017-08-16,2,100,1,double,E,7,Sample X55,1.152,1152e6,0.125
2017-08-16,2,100,1,double,E,8,Sample X56,1.219,1219e6,0.125
2017-08-16,2,100,1,double,E,9,Sample X57,1.106,1106e6,0.125
2017-08-16,2,100,1,double,E,10,Sample X58,1.144,1144e6,0.125
2017-08-16,2,100,1,double,E,11,Sample X59,1.177,1177e6,0.125
2017-08-16,2,100,1,double,F,2,Sample X62,1.179,1179e6,0.125
2017-08-16,2,100,1,double,F,3,Sample X63,1.174,1174e6,0.125
2017-08-16,2,100,1,double,F,4,Sample X64,1.19,119e7,0.125
2017-08-16,2,100,1,double,F,5,Sample X65,1.196,1196e6,0.125
2017-08-16,2,100,1,double,F,6,Sample X66,1.205,1205e6,0.125
2017-08-16,2,100,1,double,F,7,Sample X67,1.188,1188e6,0.125
2017-08-16,2,100,1,double,F,8,Sample X68,1.201,1201e6,0.125
2017-08-16,2,100,1,double,F,9,Sample X69,1.15,115e7,0.125
2017-08-16,2,100,1,double,F,10,Sample X70,1.116,1116e6,0.125
2017-08-16,2,100,1,double,F,11,Sample X71,1.167,1167e6,0.125
2017-08-16,2,100,1,double,G,2,Sample X74,1.039,1038999999.9999999,0.125
2017-08-16,2,100,1,double,G,3,Sample X75,1.029,1028999999.9999999,0.125
