antibiotic,day,strain,parameter,mean,lower,upper
none,6,D,k1,0.405555,0.395608,0.415502
none,6,D,k2,0.833095,0.802835,0.863354
none,6,D,r1,0.958463,0.893773,1.02315
none,6,D,r2,0.127234,0.1152,0.139268
rifampicin,1,S,k1,0.350036,0.304648,0.39368
rifampicin,1,S,k2,0.763288,0.755183,0.771314
rifampicin,1,S,r1,1.09386,0.929935,1.26673
rifampicin,1,S,r2,0.210714,0.201394,0.220407
rifampicin,1,A,k1,0.365385,0.338259,0.392511
rifampicin,1,A,k2,1.02205,0.981177,1.06292
rifampicin,1,A,r1,1.04302,0.921738,1.16431
rifampicin,1,A,r2,0.116856,0.109526,0.124187
rifampicin,1,B,k1,0.375063,0.357268,0.392859
rifampicin,1,B,k2,0.640184,0.636441,0.643926
rifampicin,1,B,r1,0.970675,0.836619,1.10473
rifampicin,1,B,r2,0.292025,0.263802,0.320248
rifampicin,1,D,k1,0.387929,0.374254,0.401604
rifampicin,1,D,k2,0.84215,0.814048,0.870252
rifampicin,1,D,r1,0.902833,0.838657,0.96701
rifampicin,1,D,r2,0.115857,0.107211,0.124504
rifampicin,2,S,k1,0.287164,0.23244,0.341889
rifampicin,2,S,k2,0.568348,0.562752,0.573944
rifampicin,2,S,r1,1.10515,0.70367,1.50663
rifampicin,2,S,r2,0.263604,0.231032,0.296177
rifampicin,2,A,k1,0.370709,0.357612,0.383806
rifampicin,2,A,k2,1.02522,0.9889,1.06155
rifampicin,2,A,r1,1.05692,0.967899,1.14595
rifampicin,2,A,r2,0.11622,0.109285,0.123156
rifampicin,2,B,k1,0.293331,0.126836,0.459826
rifampicin,2,B,k2,0.453145,0.450435,0.455855
rifampicin,2,B,r1,1.09388,0.660669,1.5271
rifampicin,2,B,r2,0.333938,0.303493,0.364383
rifampicin,2,D,k1,0.402572,0.391545,0.413599
rifampicin,2,D,k2,0.847645,0.818799,0.876492
rifampicin,2,D,r1,0.86586,0.806894,0.924826
rifampicin,2,D,r2,0.124027,0.113346,0.134708
rifampicin,3,S,k1,0.186229,0.148163,0.224295
rifampicin,3,S,k2,0.261258,0.256322,0.266194
rifampicin,3,S,r1,0.948798,0.679888,1.21771
rifampicin,3,S,r2,0.365733,0.274472,0.456994
rifampicin,3,A,k1,0.374061,0.364372,0.383749
rifampicin,3,A,k2,1.00034,0.956242,1.04445
rifampicin,3,A,r1,0.982233,0.908454,1.05601
rifampicin,3,A,r2,0.116832,0.108091,0.125572
rifampicin,3,B,k1,0.200545,-0.582004,0.983094
rifampicin,3,B,k2,0.255948,0.250009,0.261887
rifampicin,3,B,r1,1.06335,-0.460131,2.58683
rifampicin,3,B,r2,0.482605,0.363948,0.601261
rifampicin,3,D,k1,0.390664,0.37229,0.409038
rifampicin,3,D,k2,0.880132,0.843925,0.916339
rifampicin,3,D,r1,0.900669,0.817803,0.983535
rifampicin,3,D,r2,0.117007,0.106824,0.127191
rifampicin,4,S,k1,0.0267459,0.0256073,0.0278844
rifampicin,4,S,k2,0.277894,0.267963,0.287825
rifampicin,4,S,r1,0.840779,0.629205,1.05235
rifampicin,4,S,r2,0.403584,0.385027,0.422141
rifampicin,4,A,k1,0.390581,0.381806,0.399356
rifampicin,4,A,k2,0.990046,0.935498,1.04459
rifampicin,4,A,r1,0.937679,0.87235,1.00301
rifampicin,4,A,r2,0.1122,0.101763,0.122637
rifampicin,4,B,k1,0.0403604,0.0386843,0.0420364
rifampicin,4,B,k2,0.249437,0.232431,0.266443
rifampicin,4,B,r1,0.807273,0.565899,1.04865
rifampicin,4,B,r2,0.41124,0.369878,0.452602
rifampicin,4,D,k1,0.398351,0.391056,0.405647
rifampicin,4,D,k2,0.884335,0.849434,0.919237
rifampicin,4,D,r1,0.921836,0.870174,0.973499
rifampicin,4,D,r2,0.11649,0.106564,0.126416
rifampicin,5,S,k1,0.0989027,-0.358341,0.556146
rifampicin,5,S,k2,0.0118155,0.00170374,0.0219272
rifampicin,5,S,r1,0.192899,0.0944362,0.291361
rifampicin,5,S,r2,0.208367,-0.632342,1.04908
