Well Row,Well Col,Content, 1 - 1, 1 - 2, 1 - 3, 1 - 4, 1 - 5, 1 - 6, 1 - 7, 1 - 8, 1 - 9, 1 - 10, 1 - 11, 1 - 12, 1 - 13, 1 - 14, 1 - 15, 1 - 16, 1 - 17, 1 - 18, 1 - 19, 1 - 20, 1 - 21, 1 - 22, 1 - 23, 1 - 24, 1 - 25, 1 - 26, 1 - 27, 1 - 28, 1 - 29, 1 - 30, 1 - 31, 1 - 32, 1 - 33, 1 - 34, 1 - 35, 1 - 36, 1 - 37, 1 - 38, 1 - 39, 1 - 40, 1 - 41, 1 - 42, 1 - 43, 1 - 44, 1 - 45, 1 - 46, 1 - 47, 1 - 48, 1 - 49, 1 - 50, 1 - 51, 1 - 52, 1 - 53, 1 - 54, 1 - 55,
,,Time,0 h ,0 h 40 min,1 h 20 min,2 h ,2 h 40 min,3 h 20 min,4 h ,4 h 40 min,5 h 20 min,6 h ,6 h 40 min,7 h 20 min,8 h ,8 h 40 min,9 h 20 min,10 h ,10 h 40 min,11 h 20 min,12 h ,12 h 40 min,13 h 20 min,14 h ,14 h 40 min,15 h 20 min,16 h ,16 h 40 min,17 h 20 min,18 h ,18 h 40 min,19 h 20 min,20 h ,20 h 40 min,21 h 20 min,22 h ,22 h 40 min,23 h 20 min,24 h ,24 h 40 min,25 h 20 min,26 h ,26 h 40 min,27 h 20 min,28 h ,28 h 40 min,29 h 20 min,30 h ,30 h 40 min,31 h 20 min,32 h ,32 h 40 min,33 h 20 min,34 h ,34 h 40 min,35 h 20 min,36 h ,
E,9,Sample X57,0.052,0.054,0.061,0.075,0.097,0.125,0.154,0.181,0.213,0.232,0.252,0.277,0.294,0.301,0.317,0.324,0.33,0.337,0.347,0.362,0.374,0.394,0.412,0.432,0.443,0.458,0.469,0.478,0.495,0.503,0.513,0.522,0.528,0.536,0.545,0.548,0.55,0.561,0.573,0.585,0.59,0.598,0.612,0.621,0.62,0.626,0.635,0.634,0.636,0.644,0.639,0.644,0.654,0.659,0.665,
E,10,Sample X58,0.057,0.06,0.07,0.08,0.095,0.115,0.134,0.158,0.175,0.191,0.206,0.229,0.252,0.265,0.274,0.283,0.29,0.292,0.299,0.304,0.318,0.346,0.373,0.383,0.395,0.408,0.41,0.418,0.429,0.426,0.429,0.425,0.435,0.437,0.448,0.464,0.47,0.473,0.473,0.473,0.479,0.479,0.486,0.486,0.489,0.5,0.511,0.515,0.528,0.537,0.537,0.538,0.544,0.549,0.549,
E,11,Sample X59,0.062,0.065,0.074,0.084,0.103,0.123,0.143,0.169,0.194,0.221,0.252,0.285,0.307,0.337,0.352,0.361,0.371,0.382,0.398,0.413,0.417,0.428,0.447,0.459,0.477,0.487,0.495,0.508,0.518,0.529,0.553,0.56,0.575,0.589,0.605,0.603,0.613,0.622,0.635,0.65,0.659,0.673,0.685,0.693,0.695,0.698,0.698,0.706,0.708,0.716,0.72,0.729,0.739,0.747,0.754,
E,12,Sample X60,0.039,0.04,0.037,0.039,0.038,0.04,0.039,0.038,0.04,0.037,0.036,0.042,0.039,0.037,0.041,0.036,0.037,0.036,0.041,0.04,0.039,0.035,0.036,0.041,0.038,0.036,0.039,0.038,0.038,0.037,0.037,0.036,0.04,0.038,0.037,0.04,0.037,0.038,0.039,0.04,0.039,0.038,0.041,0.044,0.037,0.04,0.041,0.043,0.041,0.042,0.042,0.039,0.041,0.041,0.04,
F,1,Sample X61,0.04,0.04,0.042,0.04,0.044,0.041,0.041,0.043,0.043,0.039,0.037,0.042,0.04,0.041,0.043,0.041,0.04,0.04,0.037,0.041,0.04,0.037,0.037,0.038,0.038,0.038,0.041,0.038,0.041,0.04,0.041,0.04,0.042,0.038,0.04,0.041,0.042,0.04,0.041,0.043,0.043,0.04,0.043,0.047,0.043,0.044,0.045,0.043,0.045,0.044,0.043,0.044,0.043,0.046,0.043,
F,2,Sample X62,0.051,0.056,0.072,0.105,0.138,0.179,0.234,0.299,0.342,0.376,0.396,0.406,0.423,0.435,0.451,0.469,0.492,0.52,0.543,0.563,0.591,0.606,0.624,0.645,0.666,0.679,0.694,0.721,0.737,0.755,0.782,0.798,0.799,0.815,0.825,0.837,0.852,0.87,0.884,0.902,0.911,0.926,0.966,0.978,0.972,0.97,0.997,0.993,1.007,1.02,1.01,1.028,1.031,1.041,1.052,
F,3,Sample X63,0.062,0.072,0.097,0.134,0.183,0.239,0.286,0.334,0.399,0.434,0.451,0.473,0.484,0.506,0.529,0.54,0.559,0.588,0.614,0.638,0.662,0.702,0.717,0.75,0.776,0.803,0.835,0.866,0.891,0.905,0.954,0.957,0.984,1.004,1.021,1.044,1.054,1.067,1.081,1.093,1.091,1.099,1.116,1.111,1.123,1.127,1.139,1.138,1.146,1.151,1.15,1.166,1.167,1.192,1.199,
F,4,Sample X64,0.051,0.049,0.053,0.059,0.071,0.093,0.119,0.14,0.154,0.164,0.174,0.19,0.198,0.209,0.218,0.222,0.233,0.236,0.249,0.256,0.267,0.272,0.281,0.289,0.306,0.331,0.327,0.331,0.347,0.354,0.366,0.372,0.388,0.402,0.413,0.453,0.457,0.46,0.473,0.476,0.483,0.486,0.496,0.505,0.516,0.53,0.535,0.557,0.547,0.564,0.566,0.569,0.577,0.583,0.593,
F,5,Sample X65,0.046,0.046,0.047,0.05,0.055,0.063,0.078,0.089,0.101,0.116,0.132,0.157,0.171,0.193,0.214,0.231,0.247,0.262,0.276,0.275,0.288,0.297,0.315,0.307,0.311,0.333,0.329,0.335,0.346,0.357,0.378,0.377,0.403,0.449,0.482,0.52,0.535,0.558,0.582,0.591,0.601,0.623,0.643,0.657,0.672,0.693,0.691,0.728,0.687,0.739,0.737,0.755,0.775,0.774,0.783,
F,6,Sample X66,0.076,0.086,0.111,0.146,0.188,0.224,0.276,0.32,0.349,0.375,0.395,0.41,0.413,0.42,0.438,0.443,0.461,0.477,0.484,0.5,0.512,0.519,0.535,0.549,0.561,0.57,0.582,0.589,0.606,0.614,0.63,0.635,0.644,0.649,0.662,0.676,0.684,0.69,0.704,0.712,0.72,0.728,0.735,0.742,0.745,0.753,0.761,0.769,0.774,0.789,0.797,0.799,0.802,0.813,0.817,
F,7,Sample X67,0.057,0.057,0.067,0.085,0.112,0.143,0.174,0.214,0.249,0.289,0.318,0.36,0.379,0.388,0.398,0.402,0.406,0.413,0.425,0.435,0.444,0.449,0.465,0.479,0.482,0.496,0.504,0.511,0.521,0.532,0.542,0.549,0.556,0.565,0.572,0.586,0.6,0.602,0.613,0.618,0.625,0.637,0.643,0.653,0.66,0.669,0.678,0.686,0.686,0.699,0.708,0.717,0.723,0.734,0.741,
