Well Row,Well Col,Content,Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),
,,Time,0 h ,0 h 40 min,1 h 20 min,2 h ,2 h 40 min,3 h 20 min,4 h ,4 h 40 min,5 h 20 min,6 h ,6 h 40 min,7 h 20 min,8 h ,8 h 40 min,9 h 20 min,9 h 60 min,10 h 40 min,11 h 20 min,12 h ,12 h 40 min,13 h 20 min,14 h ,14 h 40 min,15 h 20 min,16 h ,16 h 40 min,17 h 20 min,18 h ,18 h 40 min,19 h 20 min,20 h ,20 h 40 min,21 h 20 min,22 h ,22 h 40 min,23 h 20 min,24 h ,24 h 40 min,25 h 20 min,26 h ,26 h 40 min,27 h 20 min,28 h ,28 h 40 min,29 h 20 min,30 h ,30 h 40 min,31 h 20 min,32 h ,32 h 40 min,33 h 20 min,34 h ,34 h 40 min,35 h 20 min,36 h ,
C,5,Sample X29,0.049,0.052,0.064,0.087,0.121,0.158,0.208,0.267,0.326,0.375,0.41,0.42,0.432,0.44,0.447,0.456,0.474,0.48,0.495,0.51,0.53,0.547,0.558,0.569,0.592,0.61,0.622,0.635,0.654,0.677,0.681,0.693,0.707,0.728,0.739,0.759,0.769,0.783,0.805,0.817,0.834,0.85,0.859,0.879,0.886,0.895,0.907,0.92,0.919,0.932,0.94,0.944,0.943,0.955,0.948,
C,6,Sample X30,0.042,0.042,0.045,0.051,0.063,0.08,0.103,0.126,0.142,0.182,0.207,0.237,0.265,0.296,0.322,0.338,0.356,0.362,0.374,0.386,0.4,0.417,0.427,0.449,0.469,0.489,0.515,0.527,0.548,0.59,0.599,0.628,0.646,0.668,0.687,0.712,0.73,0.747,0.787,0.803,0.836,0.857,0.868,0.898,0.911,0.936,0.953,0.974,0.98,1.005,1.006,1.018,1.015,1.03,1.035,
C,7,Sample X31,0.042,0.037,0.037,0.039,0.038,0.054,0.062,0.074,0.085,0.097,0.11,0.123,0.135,0.141,0.154,0.163,0.171,0.181,0.19,0.202,0.208,0.218,0.226,0.235,0.24,0.247,0.256,0.25,0.265,0.288,0.297,0.318,0.324,0.33,0.338,0.342,0.346,0.351,0.361,0.371,0.375,0.384,0.39,0.396,0.401,0.405,0.414,0.416,0.42,0.429,0.439,0.441,0.443,0.45,0.453,
C,8,Sample X32,0.03,0.028,0.028,0.029,0.024,0.026,0.027,0.025,0.026,0.026,0.028,0.028,0.028,0.026,0.026,0.026,0.029,0.027,0.026,0.026,0.028,0.027,0.026,0.028,0.026,0.028,0.029,0.024,0.026,0.028,0.027,0.025,0.028,0.029,0.025,0.026,0.024,0.025,0.027,0.026,0.028,0.027,0.027,0.028,0.028,0.028,0.027,0.03,0.027,0.029,0.028,0.026,0.027,0.029,0.027,
C,9,Sample X33,0.035,0.032,0.031,0.032,0.027,0.037,0.033,0.027,0.028,0.03,0.03,0.03,0.027,0.028,0.025,0.028,0.028,0.029,0.028,0.026,0.029,0.028,0.027,0.03,0.028,0.027,0.027,0.026,0.027,0.029,0.029,0.027,0.031,0.028,0.028,0.029,0.026,0.025,0.025,0.026,0.029,0.029,0.027,0.028,0.028,0.028,0.027,0.028,0.027,0.029,0.029,0.028,0.028,0.03,0.028,
C,10,Sample X34,0.032,0.031,0.029,0.03,0.025,0.028,0.029,0.028,0.027,0.029,0.03,0.029,0.028,0.027,0.026,0.028,0.071,0.034,0.03,0.046,0.029,0.037,0.027,0.027,0.051,0.027,0.056,0.025,0.029,0.07,0.027,0.028,0.03,0.027,0.027,0.026,0.028,0.024,0.026,0.024,0.033,0.027,0.027,0.029,0.029,0.028,0.046,0.028,0.073,0.029,0.041,0.026,0.026,0.03,0.026,
C,11,Sample X35,0.029,0.028,0.029,0.03,0.025,0.023,0.03,0.027,0.026,0.025,0.026,0.028,0.025,0.027,0.025,0.025,0.027,0.029,0.026,0.025,0.028,0.034,0.025,0.028,0.027,0.028,0.028,0.023,0.026,0.028,0.026,0.028,0.027,0.029,0.028,0.025,0.025,0.025,0.027,0.025,0.028,0.027,0.027,0.027,0.024,0.028,0.027,0.028,0.024,0.031,0.027,0.026,0.027,0.031,0.026,
C,12,Sample X36,0.029,0.028,0.03,0.028,0.026,0.025,0.028,0.026,0.024,0.028,0.029,0.029,0.027,0.029,0.025,0.028,0.029,0.028,0.026,0.027,0.029,0.029,0.026,0.028,0.028,0.026,0.028,0.027,0.027,0.029,0.027,0.027,0.027,0.029,0.027,0.025,0.025,0.025,0.026,0.025,0.03,0.028,0.028,0.026,0.026,0.027,0.028,0.03,0.027,0.028,0.029,0.026,0.029,0.03,0.028,
D,1,Sample X37,0.03,0.031,0.029,0.029,0.029,0.026,0.031,0.029,0.029,0.026,0.029,0.032,0.028,0.028,0.027,0.027,0.028,0.028,0.029,0.027,0.028,0.029,0.029,0.031,0.029,0.028,0.031,0.025,0.027,0.03,0.029,0.028,0.03,0.029,0.029,0.027,0.027,0.025,0.027,0.028,0.03,0.03,0.029,0.029,0.027,0.027,0.029,0.031,0.028,0.03,0.03,0.029,0.028,0.03,0.028,
D,2,Sample X38,0.044,0.042,0.044,0.059,0.081,0.111,0.144,0.182,0.224,0.254,0.29,0.322,0.339,0.354,0.367,0.403,0.426,0.454,0.479,0.503,0.529,0.555,0.592,0.617,0.642,0.659,0.696,0.71,0.745,0.796,0.804,0.826,0.853,0.878,0.899,0.928,0.945,0.971,1.004,1.008,1.04,1.055,1.064,1.085,1.097,1.105,1.117,1.135,1.137,1.145,1.154,1.167,1.169,1.188,1.171,
